Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.283,False,11343,11626
0.285,False,21977,22262
0.223,False,27639,27862
0.853,False,40172,41025
0.515,False,46340,46855
0.305,False,54179,54484
0.457,False,59739,60196
0.492,False,68477,68969
0.258,False,74242,74500
0.321,False,83879,84200
0.263,False,89562,89825
0.376,False,101077,101453
0.28,False,106741,107021
0.413,False,120476,120889
0.417,False,126245,126662
0.325,False,134875,135200
0.758,False,140542,141300
0.309,False,152574,152883
0.256,False,158244,158500
0.268,False,167772,168040
0.243,False,173546,173789
2.133,False,181276,183409
1.346,False,188854,190200
0,False,195698,
